Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
2.7250000000000e+001	   -0.0004689093	     -0.02280035
2.7312500000000e+001	   -0.0002259074	     -0.04251267
2.7375000000000e+001	  -1.918874e-005	     -0.04673877
2.7437500000000e+001	    0.0001443066	     -0.04705492
2.7500000000000e+001	    0.0002457874	     -0.03225855
2.7562500000000e+001	    0.0004815289	     -0.04871941
2.7625000000000e+001	    0.0005619235	     -0.04331765
2.7687500000000e+001	    0.0007480467	     -0.04591365
2.7750000000000e+001	     0.001028798	      -0.0576027
2.7812500000000e+001	     0.001160385	     -0.05667971
2.7875000000000e+001	     0.001371592	     -0.06948515
2.7937500000000e+001	     0.001574928	      -0.0581163
2.8000000000000e+001	     0.001704695	     -0.03111519
2.8062500000000e+001	     0.001948039	     -0.05326691
2.8125000000000e+001	     0.002070694	     -0.02889777
2.8187500000000e+001	     0.002246578	     -0.05023761
2.8250000000000e+001	     0.002446552	     -0.04736578
2.8312500000000e+001	     0.002599851	     -0.04210427
2.8375000000000e+001	     0.002657857	     -0.06996198
2.8437500000000e+001	     0.002879393	     -0.04794974
2.8500000000000e+001	     0.002980448	     -0.03972742
2.8562500000000e+001	     0.003111704	     -0.05909772
2.8625000000000e+001	     0.003230433	     -0.05609819
2.8687500000000e+001	      0.00331111	     -0.06702308
2.8750000000000e+001	     0.003496462	     -0.04674662
2.8812500000000e+001	     0.003612165	     -0.05776538
2.8875000000000e+001	      0.00371976	     -0.06983963
2.8937500000000e+001	     0.003793991	     -0.05572721
2.9000000000000e+001	     0.003894527	     -0.05960482
2.9062500000000e+001	     0.004064935	     -0.06225826
2.9125000000000e+001	     0.004113156	     -0.05807715
2.9187500000000e+001	     0.004226528	     -0.06954022
2.9250000000000e+001	      0.00428989	     -0.05942269
2.9312500000000e+001	      0.00438358	     -0.05830993
2.9375000000000e+001	     0.004406829	     -0.04077486
2.9437500000000e+001	     0.004453742	     -0.05052321
2.9500000000000e+001	     0.004550056	     -0.06049395
2.9562500000000e+001	     0.004583011	     -0.03379193
2.9625000000000e+001	     0.004577678	     -0.04801624
2.9687500000000e+001	       0.0045874	      -0.0343952
2.9750000000000e+001	     0.004659853	     -0.03255556
2.9812500000000e+001	     0.004659929	     -0.02750872
2.9875000000000e+001	     0.004631625	     -0.03706624
2.9937500000000e+001	     0.004626934	     -0.04477311
3.0000000000000e+001	     0.004668468	      -0.0505652
3.0062500000000e+001	      0.00462909	     -0.02985178
3.0125000000000e+001	     0.004636027	     -0.03000675
3.0187500000000e+001	     0.004568965	     -0.03069869
3.0250000000000e+001	     0.004578716	     -0.03221673
3.0312500000000e+001	     0.004501951	     -0.02608064
3.0375000000000e+001	     0.004434338	   -0.0004605539
3.0437500000000e+001	     0.004325408	      -0.0154899
3.0500000000000e+001	     0.004292204	     -0.04786576
3.0562500000000e+001	     0.004200497	     -0.03030775
3.0625000000000e+001	     0.004209062	    -0.003496554
3.0687500000000e+001	     0.004124438	     -0.02891298
3.0750000000000e+001	     0.003944351	     -0.03151308
3.0812500000000e+001	     0.003849218	     -0.01749672
3.0875000000000e+001	     0.003746367	     -0.01114161
3.0937500000000e+001	      0.00363772	     -0.02677712
3.1000000000000e+001	     0.003592857	    -0.001731213
3.1062500000000e+001	     0.003445418	   -0.0001999177
3.1125000000000e+001	     0.003331752	    -0.001270138
3.1187500000000e+001	     0.003127996	     0.004518017
3.1250000000000e+001	     0.003072067	    -0.005731728
3.1312500000000e+001	     0.002898891	     0.005085541
3.1375000000000e+001	     0.002662584	     -0.00838076
3.1437500000000e+001	     0.002618483	      0.01237056
3.1500000000000e+001	     0.002479036	   -0.0005040355
3.1562500000000e+001	     0.002291487	     0.005238216
3.1625000000000e+001	     0.002085454	      0.01934566
3.1687500000000e+001	     0.001838914	      0.01915738
3.1750000000000e+001	     0.001770779	      0.02881046
